S.No,COMMENT,CATEGORY
1,Welcoming atmosphere,Positive
2,Worst consultancy,Negative
3,Collabrative work environment,Positive
4,Teams deep understanding,Positive
5,Thoroughly impressed ,positive
6,Scam,Negative
7,Respond Promptly,Neutral
8,Stay calm and professional,positive
9,Acknowledge and apologize,Positive
10,Unfair grading,Negative
11,Outdated materials,Negative
12,Unclear instructions,Negative
13,Exceeded expectations,Positive
14,Challenging but management,Neutral
15,That was personal,Neutral
16,Boosted confidence,Positive
17,Finally take revenge,Neutal
18,Most awaited one,Positive
19,Innovative teaching methods,Positive
20,Forward thinking curriculum,Positive
21,Expected video,Positive
22,Nice video,Positive
23,Excellent work brother,Positive
24,"Recently I have seen your videos, now my favorite channel is yours",Positive
25,Ultimate brother,Positive
26,I like this video bro,Positive
27,Loved it,Positve
28,This is the real things happen in our life,Positive
29,So relatable,Positive
30,100% truth,Positive
31,What just happened here,Neutral
32,Over acting,Negative
33,Amazing,Positive
34,Your speaking is quite hard  to understand. Iwill expect that you will work with it,Negative
35,That’s true,Positve
36,Very informational and exciting,Positive
37,How could we believe that your dream was to be IAS and you prepared for neet and became a doctor after that you prepared for UPSC,Neutral
38,No matter how good it sounds. She wasted the seat of a medical aspirant,Negative
39,Succesfully one medical seat wasted,Negative
40,Don’t know why people wasting MBBS seat if they have some other person,Negative
41,I don’t know why everyone feels that you wated a MBBS seat. In my eyes you are amazingly talented person keep it up,Positive
42,She's nightmare for neet aspirants and UPSC aspirants,Neutral
43,Congratulations team,Positive
44,Avoid these kind of foods,Positive
45,very tasty,Positive
46,Would get heart attack after seeing this,Negative
47,Its definitely delicious but nothing is better than moms hand food,Positive
48,Its look very clean and hygienic thankyou for showing indian strret food can also be made in a clean way,Positive
49,"Stress relieving best video, nice cooking, lokks yummy",Positive
50,Oh my god so much oil,Negative
51,Appetizing,Positive
52,First bite taste like heaven and second bite take you there,Neutral
53,99 missed calls from the heart attack,Negative
54,"It is not concerned with the customers problems, there is no positive response from their side",Negative
55,"Its getting worse everyday, happen with me too, by the delivery date they didn't even pack the parcel",Negative
56,worst experience,Negative
57,Best app to buy products ,Positive
58,"My return is on hold since a month and you're assuring me it'll be picked up soon, non sense app",Negative
59,woww! Can't wait to shop,Positive
60,Looking stunning,Positive
61,Hey pretty!,Positive
62, I want to return the order but it showing that I haven’t received yet,Negative
63,Please check the direct message(DM) order related related query,Neutral
64,Fraud app,Negative
65,Love how you've styled these,Positive
66,All the dresses looks exceptionally well,Positive
67,Those products are forcing me to buy all of them,Positive
68,All can't choose,Positive
69,Totally into buy all of them,positive
70,So costly,Negative
71,"Don't buy anything from this app, they can't solve my issues so they stopped responding",negative
72,"First they deliver wrong product then, they take the money and don't refund",negative
73,They only use such marketing strategies but don't resolve the customers complaints,negative
74,Loved your marketing strategy,positive
75,Your services are too bad,Negative
76,Lovely products,positive
77,Great share,Positvie
78,Link please,Positive
79,My prepaid order not deliver to me still showing delivered,Negative
80,Always rocks,Positive
81,My issue is pending nobody is listening to me,Negative
82,"Worst app, never gonna use it again",Negative
83,Outfit rocks!!,Positive
84,Loved it,Positive
85,Very cute!,postive
86,Amazing finds,Positive
87,This hack saves lot of space,positive
88,The worst delivery team in the world,Negative
89,fast delivery only on the advertisement(AD),Negative
90,Urgently check my Direct meassage(DM),Neutral
91,But its plastic are they reusable,Neutral
92,How to order it,Positive
93,I suggest everyone don't buy product in this app,Negative
94,Bloody frauder,Negative
95,You won't even reply to my comments and direct message(DM),Negative
96,"Everywhere they can deliver outside india, but in local they can't deliver on time",Neutral
97,First like,Positive
98,First comment,Positive
99,Where is my replacement? I'm waiting for so many days,Negative
100,Where is it?,Positive
101,The glow up is awesome,positive
102,Thats awesome god bless you all,Positive
103,That loyalty got me tears ,Positive
104,That’s amazing congratulations,Positive
105,"Happened at that time only I realized, karma is boomerang",Neutral
106,Sad reality brother,Neutral
107,All of them danced very well keep going please post more short videos like this,Positive
108,Smoothly slayed,Positive
109,I enjoying the song here,Neutral
110,I don’t know why long hairs are admired so much I mean girls with short hair have their own beauty,Neutral
111,What a beautiful hair you got,Positive
112,Wonderful,Positive
113,So interesting,Positive
114,Tasty recipe,Positive
115,Yummy,Positive
116,Looks so delicious,positive
117,could you please tell me from where did you buy this products,positive
118,"The simplicity in the voice, what a super piece of music after so long",Positive
119,What I say just to say great great great comeback,positive
120,Very inspiring,Positive
121,Cool and awesome flim ,positive
122,Really this video is touch my emotion,positive
123,Why I am so obsessed,positive
124,All moments happened to me,positive
125,Titanic moment happens always,Positive
126,Everything relatable,Positive
127,All the momemnts terrific brother exact expression and experiene,Positive
128,Literally everything,Positive
129,Beautiful,Positive
130,Who wants the face reveal,Positive
131,This is not only a its an emotion,Positive
132,This is so asthetic,positive
133,Love your videos,Positive
134,Sound is so relax,Positive
135,Watched 100 times,Positive
136,Excellent cherography,Positive
137,Addicted,Positive
138,Graceful,Positive
139,Smooth moves,Positive
140,I couldn't stop tears,Neutral
141,Omg so sad to see this,Negative
142,True words brother,Positive
143,First one,Positive
144,Amazing,Positive
145,Everything suits you well,Positive
146,Lovely finds,Positive
147,Nice ,Positive
148,I have mailed times no proper response,Negative
149,Customer care is also not working,Negative
150,"Still, I haven't received my refund",Negative
151,"Still, I don't receive my refund",Negative
152,I am already pay but flipkart show me payment failed,Negative
153,I hate you ,Neutral
154,Good Marketing,Neutral
155,Worst experience,Negative
156,Are you try to make mad your customers,Negative
157,Completely fake service,Negative
158,Don’t shop,Negative
159,"Don’t trust them.They deliver defective products,Thereafter customer struggles for refund.",Negative
160,"I have an issue ,I haven't used the product but they are not returning it",Negative
161,Even you guys are not replying,Negative
162,Badly Disappointed,Negative
163,Worst Customer support,Negative
164,Terrible customer service,Negative
165,Worst Application,Negative
166,Fabulous,Positive
167,My Problem is not solved,Negative
168,Please help me ,Neutral
